file_name,language,label,text
13.cha,Bosnian,1,"this is a story about tom elephant and mary giraffe. they are nice. tom elephant is scary beacose fall in the pool. and mary giraffe is very happy beacose she play football. they are friends. he play football next to the pool. their fall ball in the pool. and she is catch the island. tom elephant jump in the pool and he swimming to the ball. he give a ball mary and he go out the pool. tom elephant is very very cold. she is fall in love in tom elephant. she is kiss you. and they marry. they are four kids two girl and two boy. they are very nice in the school. they trip around on the world. their family are very famous.
"
07.cha,Bosnian,1,"once L1 time there was a giraffe mary and tom elephant. one day they meet on the stret. mary was tipping with her balls. and the tom elephant. giraffe said. hey tom how are you. he said. hey mary good you. marys ball fell in river. elephant jumped in river to catch a ball. its lucky to he know to swim. he get out from the wother and said. here you go. mary get crush on him and him in her. so they got married and have baby giraffe and elephants. and they lived together for the rest of their lives.
"
06.cha,Bosnian,1,"while tom elephant and mary giraffe were walking mary's ball fell down in a pool. tom jumped in a pool catch. he caught a ball and gave it to the mary. he was so wet. marry was really happy. she fell in love with him. now they live in london. they have three childs two giraffes and one little elephant. they have really big house with beautiful garden. their childs was lily sam and cara. lily was the oldest. her first day at school was great. she love school. but sam don't like school. he thinks it boring. cara isn't going to school. she is just three years old. mary is working in a bank and tom is teacher. kids in the school like him so much. he always weares his black hat. mary is pregnant again. they have great life.
"
12.cha,Bosnian,1,"one day the marry giraffe and to elephant they walk near to pool. mary giraffe had a nice ball and she played with ball. suddenly the ball fell on the water. tom elephant jumped in the water. he can swimming but he is so hard. they was a elephant. tom was very very brave. he give marys ball to her. she say. thanks. tom was very nice. marry fall in love. tom fall in love. after they have a date. one month ago tom marries mary. mary work as teacher and tom work as police man. they have a police car. one year later mary was pregnant. she give bith two kids. they named tommy ad maxy. they was so nice. after each time mary give birth other two kids. two nice girl named anna and amy. they was very very very very happy family. after four year the boys are five and girls four years. and girls met her boyfriends. and boys he girlsfrend. and they married. they lived very happy with tom mary his wife her husband and kids. they live ever after.
"
10.cha,Bosnian,1,"one day tom and mary go for a walk. they walk and walk. him and she by best friend. mary is happy person and she love play. she play with tom and they play together with bool. they play next to lake. bool fall in lake. tom see that and him jump in lake. tom take a bool and give mary. but him das not know swim. mary say. stand up it is not deep. tom stand and say. then why did you do not go and catch boll. she say the she do not want. she say. thank you. and she kiss him. they by loved. two years after they married. she love him and him love she. they have big family. they have thirteen kids. teen giraffes and three elephants. children by good and they love by together. they still have that bool.
"
11.cha,Bosnian,1,"it was a sunny day and mary was playing next to the pool. there she met her friend tom. she has a ball with her. tom and mary were playing with the ball a suddenly the ball fel in the pool. tom jumped in the water to get the bal. mary was surprised because she didn't knew the elephants can swim. tom passed the ball to mary. he got out of the water. and mary was really happy and thankfull. she was so happy that she fell in love with him. they were going out a lot and fell in love with each other. they were happy because they found a real love. and all that because of a ball.
"
05.cha,Bosnian,1,"it was a giraffe. she name was mary and a elephant tom. she wakt to the pool. tom feel in the woather. tom swim very fast. then mary throw the ball on he. tom choten the ball and give he. he kiss him and he was happy. they married and he was happy. and hawed very much kids. and she maked things. kids go to the school. one kid was anna. and he hawed a boy. he name was nick. he makel. things. he hawed more and more kids. and i do not know. what can i say four that.
"
01.cha,Bosnian,1,"this is one beautiful story about friendship beetwen giraffe mary and elephant tom. one day they walked next to the pool. tom saw a ball in to a pool. and he wanna chatch it. he feel in to a pool. he found a ball and he took it. he loved water and swam in the pool. water were so hot and he swam in the pool. mary was angry because he left she and go swim. she wanna go home. tom saw she and quickly go out. he hugged she and then they go home. mary did not was angry any more. they kissed and married. two years later mary give birth a baby. the baby was so sweat. her name was lily. her parents loved she very much. lily was so funny. and she played a games all day. they lived happy forever.
"
15.cha,Bosnian,1,"tom elephant and mary giraffe play ball. tom elephant and mary giraffe are friends. tom and mary play bal and fool in pol. tom mary is swim pol. mary tom catch ball. tom is weet. mary is happy. tom is surprise. tom and mary play ball old day. tom and mary is to merry. tom and mery is two kids. next day is pol spiel is wother.
"
14.cha,Bosnian,1,"tom elephant and mary giraffe are friends. they are love to play together. there playing with a ball. tom had a ball in him hand. after some time ball fall of from the elephant hand. in that moment he is &~jur in the poll. he's been all wet. marry's been happy bicues she hat the ball but sad bicu tom fall in the poll. anywey they're laugh when they think about that. now they ha are living together sleep together and eat together. and thems kids petar and pal are happy because they have a great parents. they're playing in the backyard with hims thems dad tom. tom is love the childred and he want more kids. every day they going in the park. marry get hart a leg. they are live together all life.
"
